universite_code;etablissement_code;domain_code;diplome_code;speciality;group;diplomes_M;diplomes_F;diplomes_total
13;1301;31;3;إدارة الأعمال;تصرف;16;58;74
13;1301;42;2;الأنظمة المحمولة والجوالة;إعلامية;3;0;3
13;1301;42;3;الأنظمة المحمولة والجوالة;إعلامية;9;3;12
13;1301;31;3;التصرف الصناعي;تصرف;3;14;17
13;1301;31;11;التصرف المندمج في الجودة و الصحة,و السلامة و المحيط;تصرف;1;15;16
13;1301;53;2;التصرف في الانتاج;هندسة صناعية والكترونيك وآلية;0;1;1
13;1301;31;2;التصرف في المؤسسات الصغرى و المتوسطة;تصرف;2;4;6
13;1301;42;3;الشبكات والخدمات الإعلامية;إعلامية;10;7;17
13;1301;82;2;الوجستيك والنقل الدولي;تصرف في النقل واللوجستيك;0;1;1
13;1301;82;3;الوجستيك والنقل الدولي;تصرف في النقل واللوجستيك;7;34;41
13;1301;42;2;تطوير أنظمة المعلومات;إعلامية;2;0;2
13;1301;42;3;تطوير أنظمة المعلومات;إعلامية;53;25;78
13;1302;31;3;إدارة الأعمال;تصرف;18;41;59
13;1302;53;3;الالية والاعلامية الصناعية;هندسة صناعية والكترونيك وآلية;7;4;11
13;1302;53;3;التصميم والتصنيع الميكانيكي;هندسة ميكانيكية;13;10;23
13;1302;42;3;الشبكات والخدمات الإعلامية;إعلامية;6;6;12
13;1302;31;3;المحاسبة والمالية;محاسبة;7;33;40
13;1302;53;3;تكنولوجيا الإعلامية:تطوير أنظمة المعلومات;تحضير تقني;3;2;5
13;1302;53;3;صيانة صناعية;هندسة ميكانيكية;7;2;9
13;1302;53;11;هندسة كهربائية;هندسة كهربائية;4;6;10
13;1302;53;3;هندسة كهربائية : كهرباء صناعية;هندسة كهربائية;6;3;9
13;1302;53;11;هندسة ميكانيكية;هندسة ميكانيكية;8;2;10
13;1302;53;11;هندسة ميكانيكية;هندسة ميكانيكية;5;3;8
13;1304;31;3;إدارة الأعمال;تصرف;0;18;18
13;1304;42;3;إعلامية صناعية;إعلامية;4;7;11
13;1304;42;3;الأنظمة المحمولة والجوالة;إعلامية;2;14;16
13;1304;53;3;التصميم والتصنيع الميكانيكي;هندسة ميكانيكية;23;0;23
13;1304;53;11;التصميم والتصنيع الميكانيكي;هندسة ميكانيكية;31;16;47
13;1304;53;3;التصنيع الميكانيكي;هندسة ميكانيكية;13;3;16
13;1304;42;3;الشبكات والخدمات الإعلامية;إعلامية;7;8;15
13;1304;31;3;تصرف في المؤسسات;تصرف;1;1;2
13;1304;31;3;تقنيات المحاسبة والمالية;محاسبة;3;19;22
13;1304;53;3;تكنولوجيا الإعلامية:تطوير أنظمة المعلومات;تحضير تقني;10;6;16
13;1304;53;3;هندسة كهربائية: الالكترونيك الصناعي;هندسة كهربائية;5;9;14
13;1304;53;3;هندسة ميكانيكية: التصنيع باستخدام الحاسب الألي;هندسة ميكانيكية;6;8;14
13;1304;53;3;هندسة ميكانيكية:الصيانة الصناعية;هندسة ميكانيكية;21;0;21
13;1306;53;3;التصميم والتصنيع الميكانيكي;هندسة ميكانيكية;16;9;25
13;1306;42;2;الشبكات والخدمات الإعلامية;إعلامية;1;0;1
13;1306;42;3;الشبكات والخدمات الإعلامية;إعلامية;4;10;14
13;1306;53;2;الميكاترونيك;هندسة الإلكتروميكانيك والميكاترونيك;1;2;3
13;1306;53;3;الميكاترونيك;هندسة الإلكتروميكانيك والميكاترونيك;30;12;42
13;1306;42;3;النظم المحمولة والجوالة;إعلامية;5;3;8
13;1306;42;3;تطوير أنظمة المعلومات;إعلامية;19;37;56
13;1306;53;2;صيانة المعدات الفلاحية;هندسة ميكانيكية;10;2;12
13;1306;53;2;هندسة كهربائية: الآلية والاعلامية الصناعية;هندسة كهربائية;1;0;1
13;1306;53;3;هندسة كهربائية: الآلية والاعلامية الصناعية;هندسة كهربائية;21;17;38
13;1306;53;2;هندسة كهربائية: الكهرباء الصناعية;هندسة كهربائية;2;0;2
13;1306;53;3;هندسة كهربائية: الكهرباء الصناعية;هندسة كهربائية;22;12;34
13;1306;53;3;هندسة ميكانيكية:الصيانة الصناعية;هندسة ميكانيكية;8;0;8
13;1308;31;3;إدارة الأعمال;تصرف;7;16;23
13;1308;53;3;الالكترونيك الصناعي;هندسة صناعية والكترونيك وآلية;5;6;11
13;1308;53;3;الالية والاعلامية الصناعية;هندسة صناعية والكترونيك وآلية;8;3;11
13;1308;31;3;التسويق الرقمي;تصرف;5;16;21
13;1308;31;2;التصرف في المؤسسات الصغرى و المتوسطة;تصرف;0;3;3
13;1308;42;3;الملتيميديا وتطوير الواب;فن الملتيميديا;5;11;16
13;1308;42;3;تطوير أنظمة المعلومات;إعلامية;10;7;17
13;1308;53;3;صيانة صناعية;هندسة ميكانيكية;8;1;9
13;1308;53;3;هندسة ميكانيكية;هندسة ميكانيكية;9;4;13
13;1310;31;3;إدارة الأعمال;تصرف;29;33;62
13;1310;42;11;إعلامية;إعلامية;4;6;10
13;1310;42;3;الأنظمة المحمولة والجوالة;إعلامية;19;12;31
13;1310;52;3;البناء;هندسة مدنية;26;28;54
13;1310;53;3;البناء المعدني;هندسة ميكانيكية;23;5;28
13;1310;31;3;التجارة والتوزيع;تصرف;3;7;10
13;1310;31;11;التجارة والتوزيع;تصرف;2;5;7
13;1310;31;3;التسويق الرقمي;تصرف;10;12;22
13;1310;31;3;التصرف الصناعي;تصرف;35;11;46
13;1310;53;3;التصميم والتصنيع الميكانيكي;هندسة ميكانيكية;35;11;46
13;1310;31;2;التوزيع والتصرف في الصفوف;تصرف;4;4;8
13;1310;53;3;الصناعات البلاستيكية;هندسة صناعية والكترونيك وآلية;19;8;27
13;1310;53;3;الكهرباء الصناعية;هندسة كهربائية;61;25;86
13;1310;31;2;المالية الصغرى;تصرف;1;11;12
13;1310;53;3;الميكاترونيك;هندسة الإلكتروميكانيك والميكاترونيك;17;10;27
13;1310;53;11;الميكاترونيك;هندسة الإلكتروميكانيك والميكاترونيك;7;3;10
13;1310;31;3;النقل والخدمات اللوجستية;تصرف;7;8;15
13;1310;31;3;تجارة دولية;تصرف;8;14;22
13;1310;42;3;تطوير أنظمة المعلومات;إعلامية;69;33;102
13;1310;53;11;تطوير التطبيقات الجوالة;إتصالات;6;3;9
13;1310;31;3;تقنيات المحاسبة والمالية;محاسبة;22;52;74
13;1310;42;3;شبكات إعلامية;إعلامية;15;14;29
13;1310;53;3;صيانة الأنظمة الكهربائية;هندسة كهربائية;9;3;12
13;1310;52;3;قيادة الحضائر;هندسة مدنية;8;6;14
13;1310;53;3;هندسة كهربائية: الآلية والاعلامية الصناعية;هندسة كهربائية;12;8;20
13;1310;52;3;هندسة مدنية : أشغال عامة;هندسة مدنية;25;16;41
13;1310;53;3;هندسة ميكانيكية:الصيانة الصناعية;هندسة ميكانيكية;39;7;46
13;1311;31;11;إدارة الأعمال;تصرف;5;20;25
13;1311;51;3;الأساليب الغذائية;هندسة المواد;2;26;28
13;1311;44;3;الأساليب الكيميائية;كيمياء;3;37;40
13;1311;53;3;التصرف في الانتاج;هندسة صناعية والكترونيك وآلية;11;20;31
13;1311;31;3;التصرف في الجودة، الصحة، السلامة والمحيط;تصرف;2;12;14
13;1311;42;3;الشبكات والخدمات الإعلامية;إعلامية;2;5;7
13;1311;42;3;تطوير أنظمة المعلومات;إعلامية;19;28;47
13;1311;31;3;تقنيات المحاسبة والمالية;محاسبة;7;17;24
13;1311;44;11;هندسة الأساليب;كيمياء;1;13;14
13;1312;31;3;إدارة الأعمال;تصرف;4;22;26
13;1312;52;3;الأشغال العمومية;هندسة مدنية;24;18;42
13;1312;52;3;البناء;هندسة مدنية;6;5;11
13;1312;31;3;التجارة والتوزيع;تصرف;1;13;14
13;1312;53;3;التصميم والتصنيع الميكانيكي;هندسة ميكانيكية;19;13;32
13;1312;42;3;الشبكات والخدمات الإعلامية;إعلامية;1;6;7
13;1312;31;3;المحاسبة والمالية;محاسبة;5;13;18
13;1312;42;3;تطوير أنظمة المعلومات;إعلامية;9;16;25
13;1312;53;3;صيانة صناعية;هندسة ميكانيكية;13;5;18
13;1312;53;3;هندسة كهربائية: الآلية والاعلامية الصناعية;هندسة كهربائية;11;6;17
13;1312;53;3;هندسة كهربائية: الالكترونيك الصناعي;هندسة كهربائية;16;14;30
13;1313;31;3;إدارة الأعمال;تصرف;5;32;37
13;1313;42;3;الأنظمة المحمولة والجوالة;إعلامية;2;2;4
13;1313;51;11;البلاستيك والمواد المركبة;هندسة المواد;9;10;19
13;1313;53;3;البناء والصناعات الميكانيكية;هندسة ميكانيكية;22;12;34
13;1313;42;11;الحوسبة السحابية وتطوير المنضظومات الموزعة;إعلامية;1;6;7
13;1313;42;3;الشبكات والخدمات الإعلامية;إعلامية;0;3;3
13;1313;42;3;الملتيميديا وتطوير الواب;فن الملتيميديا;8;9;17
13;1313;42;3;تطوير أنظمة المعلومات;إعلامية;31;14;45
13;1313;53;3;صيانة الأنظمة الكهربائية;هندسة كهربائية;11;1;12
13;1313;53;3;صيانة صناعية;هندسة ميكانيكية;31;5;36
13;1313;42;11;هندسة المنظومات والتطوير السريع للتطبيقات;إعلامية;6;8;14
13;1313;53;11;هندسة صناعية: قيادة الانظمة الصناعية المتصلة;هندسة صناعية والكترونيك وآلية;9;10;19
13;1313;53;3;هندسة كهربائية : كهرباء صناعية;هندسة كهربائية;12;9;21
13;1313;53;3;هندسة كهربائية: الآلية والاعلامية الصناعية;هندسة كهربائية;7;15;22
13;1313;53;3;هندسة كهربائية: الالكترونيك الصناعي;هندسة كهربائية;31;11;42
13;1313;53;3;هندسة ميكانيكية : صناعة البلاستيك;هندسة ميكانيكية;8;4;12
13;1313;53;11;هندسة ميكانيكية: التصنيع المتكامل بالحاسوب;هندسة ميكانيكية;11;7;18
13;1314;53;3;التصميم والتصنيع الميكانيكي;هندسة ميكانيكية;23;16;39
13;1314;42;3;الشبكات والخدمات الإعلامية;إعلامية;6;16;22
13;1314;53;3;الصيانة الصناعية;هندسة ميكانيكية;15;2;17
13;1314;42;3;الملتيميديا وتطوير الواب;فن الملتيميديا;18;28;46
13;1314;43;3;صناعات غذائية;علوم بيولوجيا;2;27;29
13;1314;53;3;هندسة كهربائية :تشخيص الانظمة الكهربائية;هندسة كهربائية;8;12;20
13;1314;53;3;هندسة كهربائية: الآلية والاعلامية الصناعية;هندسة كهربائية;12;12;24
13;1315;51;2;أساليب الصناعات الغذائية;هندسة المواد;0;1;1
13;1315;51;3;أساليب الصناعات الغذائية;هندسة المواد;0;11;11
13;1315;31;11;إدارة الأعمال : التصرف المندمج في الجودة والسلامة والصحة المهنية والمحيط;تصرف;4;10;14
13;1315;31;11;إدارة الأعمال: التجديد والتصرف في سلسلة الموارد اللوجستية;تصرف;1;16;17
13;1315;42;11;إدارة النظم والأمن والحوسبة السحابية : أمن النظم المعلوماتية;إعلامية;2;6;8
13;1315;42;11;إدارة النظم والأمن والحوسبة السحابية : الحوسبة السحابية;إعلامية;2;9;11
13;1315;53;11;ادوات العمليات والأساليب الصناعية: ادوات العمليات والأساليب الصناعية;هندسة صناعية والكترونيك وآلية;7;8;15
13;1315;44;3;الأساليب الكيميائية;كيمياء;2;15;17
13;1315;52;2;الأشغال العمومية;هندسة مدنية;0;1;1
13;1315;52;3;الأشغال العمومية;هندسة مدنية;22;8;30
13;1315;42;2;الأنظمة المحمولة والجوالة;إعلامية;1;0;1
13;1315;42;3;الأنظمة المحمولة والجوالة;إعلامية;8;3;11
13;1315;52;2;البناء;هندسة مدنية;1;0;1
13;1315;52;3;البناء;هندسة مدنية;17;11;28
13;1315;53;2;البناء المعدني;هندسة ميكانيكية;1;0;1
13;1315;53;3;البناء المعدني;هندسة ميكانيكية;12;5;17
13;1315;31;3;التصرف الصناعي;تصرف;2;17;19
13;1315;31;3;التصرف في الجودة، الصحة، السلامة والمحيط;تصرف;4;8;12
13;1315;31;2;التصرف في المحاسبة والمالية;تصرف;0;3;3
13;1315;53;2;التصميم والتصنيع الميكانيكي;هندسة ميكانيكية;3;0;3
13;1315;53;3;التصميم والتصنيع الميكانيكي;هندسة ميكانيكية;50;6;56
13;1315;42;3;الشبكات والخدمات الإعلامية;إعلامية;6;12;18
13;1315;11;11;المساعدة في التصرف في التكوين وتطوير الكفاءات;تكوين المكونين;0;8;8
13;1315;31;3;النقل والخدمات اللوجستية;تصرف;6;24;30
13;1315;53;11;تصميم وتصنيع أدوات الآلات الضاغطة;هندسة صناعية والكترونيك وآلية;2;2;4
13;1315;42;2;تطوير أنظمة المعلومات;إعلامية;2;0;2
13;1315;42;3;تطوير أنظمة المعلومات;إعلامية;28;45;73
13;1315;31;2;تقنيات البيع;تصرف;1;6;7
13;1315;31;3;تقنيات البيع;تصرف;4;7;11
13;1315;31;3;تقنيات المحاسبة والمالية;تصرف;0;9;9
13;1315;42;11;هندسة البرمجيات والتكنولوجيات الحديثة;إعلامية;5;9;14
13;1315;53;3;هندسة ميكانيكية: طاقية;هندسة ميكانيكية;15;2;17
13;1315;53;2;هندسة ميكانيكية:الصيانة الصناعية;هندسة ميكانيكية;1;0;1
13;1315;53;3;هندسة ميكانيكية:الصيانة الصناعية;هندسة ميكانيكية;20;3;23
13;1316;53;3;ادارة وهندسة الصيانة الصناعية;هندسة صناعية والكترونيك وآلية;14;4;18
13;1316;53;3;التصميم والتصنيع الميكانيكي;هندسة ميكانيكية;12;10;22
13;1316;31;3;المحاسبة والمالية;محاسبة;10;56;66
13;1316;53;3;شبكات وخدمات الاتصالات;إتصالات;5;15;20
13;1316;42;3;نظم اعلامية وبرمجيات;إعلامية;23;16;39
13;1316;53;3;هندسة كهربائية;هندسة كهربائية;23;7;30
13;1316;53;3;هندسة كهربائية: الآلية والاعلامية الصناعية;هندسة كهربائية;10;15;25
13;1316;53;3;هندسة كيميائية;هندسة كيميائية;4;50;54
13;1316;53;3;هندسة ميكانيكية;هندسة ميكانيكية;10;2;12
13;1317;31;3;إدارة الأعمال;تصرف;12;32;44
13;1317;42;3;إعلامية;إعلامية;2;7;9
13;1317;53;3;التصميم والتصنيع الميكانيكي;هندسة ميكانيكية;6;2;8
13;1317;53;3;الكهرباء الصناعية;هندسة كهربائية;1;6;7
13;1317;44;3;هندسة الأساليب;كيمياء;0;5;5
13;1318;31;11;التصرف في الإنتاج في النسيج;تصرف في الجودة والإنتاج;2;12;14
13;1318;51;11;صناعات الملابس;هندسة النسيج;3;12;15
13;1318;53;11;معالجة المياه الصناعية;هندسة موارد بيئية;1;15;16
13;1319;31;3;إدارة الأعمال;تصرف;5;28;33
13;1319;52;3;الأشغال العمومية;هندسة مدنية;23;15;38
13;1319;52;3;البناء;هندسة مدنية;17;21;38
13;1319;53;3;البناء المعدني;هندسة ميكانيكية;16;10;26
13;1319;53;3;التصميم والتصنيع الميكانيكي;هندسة ميكانيكية;14;7;21
13;1319;53;3;الكهرباء الصناعية;هندسة كهربائية;6;16;22
13;1319;42;3;الملتيميديا وتطوير الواب;فن الملتيميديا;9;7;16
13;1319;42;3;تطوير أنظمة المعلومات;إعلامية;11;10;21
13;1319;53;3;هندسة كهربائية: الآلية والاعلامية الصناعية;هندسة كهربائية;8;12;20
13;1319;53;3;هندسة كهربائية: الالكترونيك الصناعي;هندسة كهربائية;6;9;15
13;1325;42;3;الملتميديا وتطوير الواب;فن الملتيميديا;5;14;19
13;1325;42;3;تطوير أنظمة المعلومات;إعلامية;28;30;58
13;1325;42;3;هندسة الأساليب : أساليب غذائية;إعلامية;0;29;29
13;1325;53;2;هندسة بحرية: كهروميكانيك بحري;هندسة الإلكتروميكانيك والميكاترونيك;4;0;4
13;1320;52;2;الأشغال العمومية;هندسة مدنية;39;22;61
13;1320;42;2;الأنظمة المحمولة والجوالة;إعلامية;12;2;14
13;1320;52;2;البناء;هندسة مدنية;24;15;39
13;1320;31;2;التسويق الرقمي;تصرف;8;15;23
13;1320;31;2;التسويق الرقمي;تصرف;6;8;14
13;1320;31;2;التصرف الصناعي;تصرف;15;41;56
13;1320;31;2;التصرف في الجودة، الصحة، السلامة والمحيط;تصرف;10;15;25
13;1320;53;2;التصميم والتصنيع الميكانيكي;هندسة ميكانيكية;42;16;58
13;1320;44;2;التوبوغرافيا والجغرفة الرقمية;فيزياء;14;8;22
13;1320;42;11;الريادة الرقمية في علوم البيانات;إعلامية;2;1;3
13;1320;42;2;الشبكات والخدمات الإعلامية;إعلامية;6;7;13
13;1320;53;2;الكهرباء الصناعية;هندسة كهربائية;21;7;28
13;1320;31;2;المحاسبة والمالية;محاسبة;20;47;67
13;1320;42;2;الملتميديا وتطوير الواب;فن الملتيميديا;15;14;29
13;1320;42;2;تطوير أنظمة المعلومات;إعلامية;39;36;75
13;1320;53;2;صيانة العربات الصناعية ومعدات الأشغال العامة;هندسة صناعية والكترونيك وآلية;11;0;11
13;1320;53;2;صيانة و تشخيص السيارات;هندسة صناعية والكترونيك وآلية;15;2;17
13;1320;53;2;هندسة كهربائية: الآلية والاعلامية الصناعية;هندسة كهربائية;30;21;51
13;1320;53;2;هندسة كهربائية: الالكترونيك الصناعي;هندسة كهربائية;10;1;11
13;1320;53;2;هندسة ميكانيكية: الطاقية;هندسة ميكانيكية;9;1;10
13;1320;53;2;هندسة ميكانيكية:الصيانة الصناعية;هندسة ميكانيكية;21;7;28
13;1321;31;3;إدارة الأعمال;تصرف;13;47;60
13;1321;53;3;الأساليب الغدائية;هندسة كيميائية;1;34;35
13;1321;44;3;الأساليب الكيميائية;كيمياء;2;22;24
13;1321;42;2;الأنظمة المحمولة والجوالة;إعلامية;0;1;1
13;1321;42;3;الأنظمة المحمولة والجوالة;إعلامية;6;7;13
13;1321;31;3;التسويق الرقمي;تصرف;3;13;16
13;1321;31;2;التصرف في المؤسسات الصغرى و المتوسطة;تصرف;0;1;1
13;1321;53;2;التصميم والتصنيع الميكانيكي;هندسة ميكانيكية;1;0;1
13;1321;53;3;التصميم والتصنيع الميكانيكي;هندسة ميكانيكية;34;9;43
13;1321;42;2;الشبكات والخدمات الإعلامية;إعلامية;2;0;2
13;1321;42;3;الشبكات والخدمات الإعلامية;إعلامية;5;11;16
13;1321;53;2;الكهرباء الصناعية;هندسة كهربائية;1;0;1
13;1321;53;3;الكهرباء الصناعية;هندسة كهربائية;24;15;39
13;1321;31;3;النقل والخدمات اللوجستية;تصرف;5;18;23
13;1321;42;2;تطوير أنظمة المعلومات;إعلامية;2;2;4
13;1321;31;3;تقنيات المحاسبة والمالية;محاسبة;3;15;18
13;1321;53;3;تكنولوجيا الإعلامية:تطوير أنظمة المعلومات;تحضير تقني;30;20;50
13;1321;43;2;صناعات غذائية;علوم بيولوجيا;0;1;1
13;1321;53;2;صيانة صناعية;هندسة ميكانيكية;2;0;2
13;1321;53;3;صيانة صناعية;هندسة ميكانيكية;14;1;15
13;1321;53;3;هندسة كهربائية: الآلية والاعلامية الصناعية;هندسة كهربائية;10;14;24
13;1321;53;2;هندسة كهربائية: الالكترونيك الصناعي;هندسة كهربائية;2;0;2
13;1321;53;3;هندسة كهربائية: الالكترونيك الصناعي;هندسة كهربائية;16;1;17
13;1322;42;3;الشبكات والخدمات الإعلامية;إعلامية;3;3;6
13;1322;53;3;الكهرباء الصناعية;هندسة كهربائية;7;11;18
13;1322;42;3;الملتميديا وتطوير الواب;فن الملتيميديا;3;8;11
13;1322;53;3;الهندسة الميكانيكية;هندسة ميكانيكية;18;5;23
13;1322;52;3;هندسة مدنية : بناء;هندسة مدنية;6;8;14
13;1322;52;3;هندسة مدنية:الأشغال العمومية;هندسة مدنية;29;20;49
13;1322;53;3;هندسة ميكانيكية: الطاقية;هندسة ميكانيكية;4;4;8
13;1324;53;3;التصرف في تكنولوجيات المعلومات و الإتصال;إتصالات;16;21;37
13;1324;42;3;الشبكات وأنظمة الإتصالات;إعلامية;9;11;20
13;1324;42;3;سلامة الشبكات;إعلامية;27;30;57
4;430;53;5;تكوين هندسي;هندسة صناعية والكترونيك وآلية;28;12;40
4;429;41;5;الإحصاء وتحليل المعلومات;الإحصاء وتحليل المعلومات;25;19;44
4;427;21;;إخراج;سينيما;0;3;3
4;427;21;11;الانتاج السمعي والبصري;سينيما;0;1;1
4;427;21;10;التقنيات السمعية البصرية;سينيما;1;3;4
4;427;21;;الصورة والاضاءة;سينيما;2;2;4
4;427;21;11;الصورة والاضاءة;سينيما;3;4;7
4;427;21;11;المساعدة على الاخراج;سينيما;0;3;3
4;427;21;;تركيب;فنون وحرف;0;6;6
4;427;21;11;تركيب;فنون وحرف;4;1;5
4;427;21;;صوت;فنون وحرف;1;1;2
4;427;21;11;صوت;فنون وحرف;2;0;2
4;427;21;13;علوم السينما و السمعي البصري، الوساطة الفنية و تكنولوجيات الفن;سينيما;1;2;3
4;426;51;11;التجديد والتثمين في الصناعات الغذائية والتنمية المستديمة;هندسة المواد;1;7;8
4;426;43;5;صناعات غذائية;علوم بيولوجيا;2;24;26
4;426;51;3;صناعات وأساليب غذائية;هندسة المواد;5;34;39
4;424;62;10;ادارة الموارد الطبيعية و تنمية الاقالييم;علوم فلاحية;1;6;7
4;424;62;5;إنتاج فلاحي;علوم فلاحية;5;11;16
4;424;34;5;اقتصاد ريفي;علوم اقتصادية;3;15;18
4;424;62;10;الغذائية والفلاحية : تسويق المنتوجات;علوم فلاحية;3;5;8
4;424;62;3;بعث والتصرف في المؤسسات الفلاحية;علوم فلاحية;7;17;24
4;433;53;5;الأنظمة الصناعية والمنافسة;هندسة صناعية والكترونيك وآلية;3;15;18
4;433;53;5;الأنظمة الطاقية والتكنولوجيات النظيفة;هندسة موارد بيئية;3;8;11
4;433;53;5;الالكترونيات المتقدمة والنانوتكنولوجيا;هندسة صناعية والكترونيك وآلية;9;6;15
4;433;44;11;هندسة الابتكار ونقل التكنولوجيا;كيمياء;10;4;14
4;431;53;5;هندسة صناعية;هندسة صناعية والكترونيك وآلية;14;14;28
4;431;53;5;هندسة ميكانيكية;هندسة ميكانيكية;12;1;13
4;428;53;10;الآلية والروبوتيك ومعالجة المعلومة;هندسة صناعية والكترونيك وآلية;3;7;10
4;428;42;10;تكنولوجيا المعلومة والاتصال:الشبكات والملتيميديا;إعلامية;1;8;9
4;428;41;10;علوم البيانات والموبيكتي;الإحصاء وتحليل المعلومات;2;1;3
4;428;53;10;علوم التكنولوجيا طاقة الرياح;هندسة كهربائية;1;1;2
4;428;53;5;ميكاترونيك;هندسة الإلكتروميكانيك والميكاترونيك;27;25;52
4;428;53;5;هندسة الأنظمة الصناعية واللوجستيكية;هندسة صناعية والكترونيك وآلية;23;32;55
4;428;42;5;هندسة الإعلامية التطبيقية;إعلامية;52;56;108
4;428;42;5;هندسة انظمة الانفروترونيك;إعلامية;14;21;35
4;428;53;13;هندسة كهربائية;هندسة كهربائية;2;5;7
4;421;11;3;تربية الطفل;علوم التربية;5;80;85
4;421;11;3;تربية الطفولة المبكرة;علوم التربية;0;35;35
4;432;42;11;أنفــــوتـــرونيـــك;إعلامية;1;14;15
4;432;42;3;اعلامية واتصالات;إعلامية;28;36;64
4;432;53;3;الالية والاعلامية الصناعية;هندسة صناعية والكترونيك وآلية;26;26;52
4;432;42;10;الروبوتيك و الإعلامية و أنظمة الإتصالات;إعلامية;3;11;14
4;432;42;3;النظم المحمولة وانترنات الأشياء;إعلامية;20;27;47
4;432;53;11;سلامة الشبكات و أنظمة الإتصالات المحمولة;إتصالات;5;14;19
4;432;42;3;علوم الاعلامية;إعلامية;72;55;127
4;432;53;11;ميكاترونيك;هندسة الإلكتروميكانيك والميكاترونيك;6;3;9
4;432;42;3;هندسة الشبكات والنظم;إعلامية;12;10;22
4;417;52;3;البناء المعدني;هندسة مدنية;9;7;16
4;417;52;3;البنية التحتية;هندسة مدنية;22;11;33
4;417;52;3;التخطيط والتصرف في الأشغال;تعمير وتهيئة;8;10;18
4;417;52;3;البناء;هندسة مدنية;8;11;19
4;417;52;10;التخطيط العمراني المستدام والحوكمة في المغرب الكبير;تعمير وتهيئة;2;5;7
4;417;52;11;التصرف و متابعة مشاريع الهندسة المدنية;هندسة مدنية;10;13;23
4;417;52;;التعمير والتهيئة;تعمير وتهيئة;2;17;19
4;417;52;3;التعمير والتهيئة;تعمير وتهيئة;6;40;46
4;417;52;2;الهيدروليكية;هندسة مدنية;1;0;1
4;417;52;3;الهيدروليكية;هندسة مدنية;11;4;15
4;417;52;10;هندسة مدنية;هندسة مدنية;3;4;7
4;416;41;3;الاحصاء البيئي;الإحصاء وتحليل المعلومات;1;14;15
4;416;53;2;الهندسة الطاقية;هندسة موارد بيئية;6;12;18
4;416;53;3;الهندسة الطاقية;هندسة موارد بيئية;4;13;17
4;416;81;3;حماية وتكنولوجيات المحيط;حماية البيئة;3;20;23
4;416;44;3;كيمياء فيزياء;فيزياء;2;14;16
4;415;31;3;إدارة الأعمال;تصرف;6;9;15
4;415;31;11;إدارة الأعمال الدولية;تصرف;4;12;16
4;415;31;3;التسويق;تصرف;12;13;25
4;415;31;3;التصرف اللوجستي والإنتاج;تصرف;6;12;18
4;415;31;3;المحاسبة;محاسبة;13;55;68
4;415;34;3;الهندسة الإقتصادية و المالية;علوم اقتصادية;2;21;23
4;415;31;11;تسويق المبادرة والابتكار;تصرف;8;12;20
4;415;31;3;ذكاء الاعمال;تصرف;14;24;38
4;415;31;3;مالية;تصرف;16;67;83
4;415;31;11;محاسبة ونظم المعلومات;محاسبة;7;18;25
4;415;31;11;هندسة مالية;تصرف;3;14;17
4;413;62;3;علوم البحار;علوم فلاحية;3;20;23
4;413;62;11;علوم البحار;علوم فلاحية;2;2;4
4;412;53;2;الأكترونيك الصناعي;هندسة صناعية والكترونيك وآلية;4;4;8
4;412;42;11;الأنظمة السيبرمادية;إعلامية;3;13;16
4;412;53;2;الالية والاعلامية الصناعية;هندسة صناعية والكترونيك وآلية;1;7;8
4;412;53;10;التحكم في النظم الصناعية;هندسة صناعية والكترونيك وآلية;13;11;24
4;412;53;11;الشبكات والإتصالات;إتصالات;3;2;5
4;412;53;2;الكترونيك السيارات;هندسة صناعية والكترونيك وآلية;8;6;14
4;412;53;2;النظم المحمولة;هندسة صناعية والكترونيك وآلية;9;7;16
4;412;42;2;النظم المحمولة وانترنات الأشياء;إعلامية;15;15;30
4;412;53;11;خدمات وسلامة الشبكات;إتصالات;5;10;15
4;412;42;2;علوم الاعلامية;إعلامية;18;18;36
4;412;53;2;علوم وتكنولوجيات المعلومات والاتصالات:شبكات وإتصالات;إتصالات;10;16;26
4;412;42;2;هندسة الشبكات والنظم;إعلامية;5;4;9
4;410;22;3;ألمانية;لغة ألمانية;5;17;22
4;410;22;3;إسبانية;لغة إسبانية;0;6;6
4;410;22;10;التواصل بين الثقافات;ترجمة ولغات مطبقة;2;12;14
4;410;22;3;الرّوسيّة;لغة وآداب روسية;3;15;18
4;410;22;3;الصينية: اللغة والأداب والحضارة;لغة صينية;1;25;26
4;410;22;13;العربية;آداب عربية;0;1;1
4;410;22;10;العربية;آداب عربية;0;5;5
4;410;22;11;العربية الناطقين بغيرها;آداب عربية;1;3;4
4;410;22;13;اللسانيات التطبيقية;ترجمة ولغات مطبقة;3;2;5
4;410;22;10;اللسانيات التطبيقية;ترجمة ولغات مطبقة;0;27;27
4;410;22;13;اللسانيات العامة;ترجمة ولغات مطبقة;2;2;4
4;410;22;10;اللسانيات العامة;ترجمة ولغات مطبقة;0;5;5
4;410;22;10;اللغة والآداب الأنقليزية (الدراسات عبر الثقافات);لغة إيطالية;2;15;17
4;410;22;3;انقليزية;آداب إنقليزية;11;137;148
4;410;22;11;انقليزية;آداب إنقليزية;10;47;57
4;410;53;3;ايطالية;هندسة صناعية والكترونيك وآلية;0;17;17
4;410;22;11;ترجمة;ترجمة ولغات مطبقة;2;7;9
